subject;set;nBlocksTotal;age;sex;handedness;visionImpairment;block;trial;nObjects;nTargets;o1marked;o2marked;o3marked;o4marked;o5marked;o6marked;o7marked;o8marked;sumCorrect;fps;monitorScalingFa
14;1;5;15;m;d;s;3;7;8;4;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;2.0;60;1.0
14;1;5;15;m;d;s;3;8;8;4;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;4.0;60;1.0
14;1;5;15;m;d;s;3;9;8;4;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;4.0;60;1.0
14;1;5;15;m;d;s;4;0;8;4;1.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;2.0;60;1.0
14;1;5;15;m;d;s;4;1;8;4;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;3.0;60;1.0
14;1;5;15;m;d;s;4;2;8;4;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;4.0;60;1.0
14;1;5;15;m;d;s;4;3;8;4;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;4.0;60;1.0
14;1;5;15;m;d;s;4;4;8;4;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;2.0;60;1.0
14;1;5;15;m;d;s;4;5;8;4;1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;2.0;60;1.0
14;1;5;15;m;d;s;4;6;8;4;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;4.0;60;1.0
14;1;5;15;m;d;s;4;7;8;4;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;4.0;60;1.0
14;1;5;15;m;d;s;4;8;8;4;0.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;3.0;60;1.0
14;1;5;15;m;d;s;4;9;8;4;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;3.0;60;1.0
